0 0 0.300001 0.283338 1.89927e-12 1.82311e-12 7.66875e-10 4.12036e-10 -2.33514e-12 -2.33512e-12 1.18263e-09 7.75697e-08
 20 0.00122449 0.300004 0.283341 1.69628e-10 2.22202e-10 5.37802e-09 1.4889e-09 -1.43655e-10 -1.43653e-10 7.25876e-09 9.38423e-07
 40 0.00244898 0.300007 0.283343 1.2312e-10 4.79542e-11 1.43305e-08 3.47018e-09 -1.23657e-10 -1.23648e-10 1.79717e-08 2.80706e-06
 60 0.00367347 0.300008 0.283344 1.28079e-10 1.07076e-10 1.83664e-08 4.22516e-09 -1.22525e-10 -1.22512e-10 2.28267e-08 3.35754e-06
 80 0.00489796 0.300006 0.283342 4.47808e-11 1.48641e-11 1.8102e-08 2.43524e-09 -4.8688e-11 -4.86837e-11 2.05968e-08 1.97954e-06
 100 0.00612245 0.300003 0.28334 1.28417e-11 1.13295e-11 6.51547e-09 5.0707e-10 -1.33819e-11 -1.33816e-11 7.04671e-09 3.87021e-07
 120 0.00734694 0.300002 0.283339 4.2027e-11 5.08764e-11 2.7646e-09 1.25064e-10 -3.99738e-11 -3.99734e-11 2.98257e-09 1.00728e-07
 140 0.00857143 0.300004 0.28334 5.83958e-11 4.73272e-11 4.33321e-09 1.16316e-09 -5.51475e-11 -5.51457e-11 5.60209e-09 9.4072e-07
 160 0.00979592 0.300005 0.283342 7.10378e-11 6.18454e-11 7.87895e-09 2.02458e-09 -7.05223e-11 -7.05188e-11 1.00364e-08 1.64804e-06
 180 0.0110204 0.300005 0.283341 3.42473e-11 1.58013e-11 1.04284e-08 1.67143e-09 -3.62093e-11 -3.62066e-11 1.21499e-08 1.35727e-06
 200 0.0122449 0.300003 0.28334 1.15229e-11 1.02249e-11 5.02742e-09 6.29463e-10 -1.23768e-11 -1.23762e-11 5.67863e-09 5.11251e-07
 220 0.0134694 0.300001 0.283338 1.58431e-11 1.94169e-11 2.50445e-09 2.74258e-11 -1.45325e-11 -1.45325e-11 2.56714e-09 2.18345e-08
 240 0.0146939 0.300002 0.283339 2.02808e-11 1.23546e-11 1.12339e-09 2.79146e-10 -1.94416e-11 -1.94412e-11 1.43517e-09 2.26742e-07
 260 0.0159184 0.300003 0.28334 4.12094e-11 4.53855e-11 2.96324e-09 8.51423e-10 -3.91608e-11 -3.91598e-11 3.90125e-09 6.93855e-07
 280 0.0171429 0.300004 0.28334 2.25955e-11 9.02379e-12 5.35337e-09 9.6683e-10 -2.35067e-11 -2.35056e-11 6.35182e-09 7.85955e-07
 300 0.0183673 0.300003 0.283339 1.22392e-11 1.28639e-11 3.28006e-09 5.56993e-10 -1.26492e-11 -1.26486e-11 3.86216e-09 4.53021e-07
 320 0.0195918 0.300001 0.283338 6.6081e-12 6.77287e-12 2.2906e-09 1.0126e-10 -6.56213e-12 -6.56212e-12 2.40524e-09 8.1925e-08
 340 0.0208163 0.300001 0.283338 6.12041e-12 3.17999e-12 3.39549e-10 3.2066e-11 -5.68901e-12 -5.68896e-12 3.80915e-10 2.56627e-08
 360 0.0220408 0.300002 0.283339 2.10268e-11 2.55919e-11 1.00876e-09 2.95896e-10 -1.97933e-11 -1.9793e-11 1.35128e-09 2.4116e-07
 380 0.0232653 0.300002 0.283339 1.30732e-11 5.18189e-12 2.47565e-09 4.81552e-10 -1.3342e-11 -1.33416e-11 2.97546e-09 3.91337e-07
 400 0.0244898 0.300002 0.283339 1.12342e-11 1.32269e-11 1.83925e-09 3.90987e-10 -1.1205e-11 -1.12047e-11 2.2547e-09 3.18063e-07
 420 0.0257143 0.300001 0.283338 4.23051e-12 3.02796e-12 1.8351e-09 1.40109e-10 -4.43505e-12 -4.435e-12 1.98246e-09 1.13473e-07
 440 0.0269388 0.300001 0.283337 1.73942e-12 1.09546e-12 2.24423e-10 3.45398e-12 -1.6395e-12 -1.6395e-12 2.30712e-10 2.33873e-09
